reservation_no,facility_id,user_id,child_id,usage_date,use_from_datetime,use_to_datetime,way_to_reserve,accept_date,status,achieve_flag,amount,citizen_note,facility_note,cancel_reason_category,cancel_note,use_reason_category,create_user,create_datetime,update_user,update_datetime
6,a10035,cbf1f43b-1f42-40c6-b749-abb852553189,02,2022-02-01,2022-02-01 09:00:00,2022-02-01 18:00:00,1,2022-01-20,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
7,a10035,dc7407a0-a2f4-442b-9b6e-6e9b5167b923,03,2022-02-01,2022-02-01 09:00:00,2022-02-01 18:00:00,1,2022-01-25,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
8,a10035,401a2b27-c189-40f1-b34a-ac0b6cb7a55a,01,2022-02-01,2022-02-01 09:00:00,2022-02-01 18:00:00,1,2022-01-21,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
9,a10035,096129b3-71e4-498d-b1fe-7b11835a3bc7,01,2022-02-01,2022-02-01 09:00:00,2022-02-01 18:00:00,1,2022-01-24,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
10,a10035,21bfff81-2839-4319-865f-ad4e5712acf6,02,2022-02-01,2022-02-01 09:00:00,2022-02-01 18:00:00,1,2022-01-26,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
11,a10035,4b7486f8-3244-4a4c-832b-8b8b0c78608a,02,2022-02-01,2022-02-01 09:00:00,2022-02-01 18:00:00,1,2022-01-27,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
12,a10035,ef9722c3-6315-40d6-a41b-8a8c783ada6d,01,2022-02-01,2022-02-01 09:00:00,2022-02-01 18:00:00,1,2022-01-26,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
13,a10035,21bfff81-2839-4319-865f-ad4e5712acf6,03,2022-02-01,2022-02-01 09:00:00,2022-02-01 12:00:00,1,2022-01-24,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
14,a10035,4b7486f8-3244-4a4c-832b-8b8b0c78608a,03,2022-02-01,2022-02-01 13:00:00,2022-02-01 18:00:00,1,2022-01-21,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
15,a10035,126c81ab-067f-4c93-804d-377134cc465f,01,2022-02-01,2022-02-01 09:00:00,2022-02-01 18:00:00,1,2022-01-21,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
16,a10035,ba86d707-a4f3-4f4a-9b93-a9d1be3c6b99,01,2022-02-01,2022-02-01 09:00:00,2022-02-01 18:00:00,1,2022-01-21,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
17,a10035,ac8e28a2-0bcc-4d37-a620-7defb7d4c693,01,2022-02-02,2022-02-02 09:00:00,2022-02-02 18:00:00,1,2022-01-22,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
18,a10035,21bfff81-2839-4319-865f-ad4e5712acf6,02,2022-02-02,2022-02-02 10:00:00,2022-02-02 13:00:00,1,2022-01-21,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
19,a10035,7c975522-79d5-4f99-910e-9d91c6062406,01,2022-02-02,2022-02-02 14:00:00,2022-02-02 17:00:00,1,2022-01-28,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
20,a10035,ba86d707-a4f3-4f4a-9b93-a9d1be3c6b99,01,2022-02-02,2022-02-02 09:00:00,2022-02-02 18:00:00,1,2022-01-27,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
21,a10035,aafa97d0-4e61-414b-8ce8-4a79bc7cf0c3,02,2022-02-02,2022-02-02 10:00:00,2022-02-02 13:00:00,1,2022-01-24,2,1,NULL,NULL,NULL,1,NULL,1,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:12:42.646,afb530ae-a1e7-477c-aab5-9a779603e2d6,2022-02-26 02:13:27.249
